Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2
Lobbes,6540,house,149000,3,110,1,0,0,0,0,0,0,580,4,1937,0,636,1,230000,29055,1354
Brussel,1000,apartment,450000,3,147,1,0,0,0,0,0,0,0,2,1971,3,181,3,275000,21541,3061
Ixelles,1050,apartment,450000,2,109,1,0,1,1,0,0,0,0,2,1900,3,201,5,350000,23014,4128
Wetteren,9230,apartment,249000,2,88,1,0,1,9,0,0,0,0,2,2003,4,207,3,280000,30041,2829
Watermael-boitsfort,1170,apartment,320000,2,90,1,0,1,13,0,0,0,0,3,1973,1,291,5,429500,26474,3555
Ixelles,1050,apartment,1570000,4,297,0,0,1,300,0,0,0,0,4,1994,2,233,5,350000,23014,5286
Leuven,3000,apartment,475000,3,116,1,0,1,9,0,0,0,0,2,1988,5,127,3,340000,30408,4094
Dendermonde,9200,town-house,415000,3,229,1,0,1,7,0,0,0,359,2,2013,6,61,5,265000,30172,1812
Ixelles,1050,ground-floor,485000,3,142,1,0,1,250,1,130,0,0,2,1958,0,390,2,350000,23014,3415
Edegem,2650,apartment,269000,2,78,0,0,0,0,0,0,0,0,2,1976,5,177,3,339900,34133,3448
Oostende,8400,house,359000,4,203,0,0,0,0,0,0,0,206,3,1960,3,371,5,235000,25991,1768
Hamont-achel,3930,villa,439000,5,250,0,0,0,0,0,0,0,1912,4,1994,4,261,5,310000,29119,1756
Lummen,3560,apartment,220000,1,64,0,0,0,0,0,0,0,0,3,2009,5,126,3,308000,32749,3437
Kapellen,2950,house,449000,3,230,1,0,1,27,0,0,0,423,2,2006,4,204,5,365250,33995,1952
Bruxelles,1000,flat-studio,135000,1,23,1,0,0,0,0,0,0,0,2,1999,2,236,3,275000,21541,5869
Kapelle-op-den-bos,1880,house,625000,4,250,0,0,0,0,0,0,0,2548,4,1912,2,440,2,375000,32868,2500
Lommel,3920,house,599000,5,376,0,0,0,0,0,0,0,2659,4,1994,5,192,3,285000,30215,1593
Namur,5000,house,249000,3,132,1,0,1,12,1,250,0,330,3,1960,2,381,2,250000,26345,1886
Liedekerke,1770,villa,625000,4,180,1,0,0,0,0,0,0,542,4,1998,5,133,5,310000,30325,3472
Bredene,8450,penthouse,319000,2,101,1,0,1,5,0,0,0,0,2,2017,6,89,3,247000,30047,3158
Liege,4000,apartment,199000,1,72,1,0,0,0,0,0,0,0,2,1918,5,131,3,170000,22738,2763
Eupen,4700,villa,575000,5,392,1,0,1,40,0,0,0,3063,4,1983,1,443,2,195000,27382,1466
Grez-doiceaunethen,1390,house,250000,3,230,1,0,0,0,0,0,0,983,4,1930,2,407,1,382500,31018,1086
Harelbeke,8530,house,149000,3,86,1,0,0,0,0,0,0,88,3,1930,1,683,1,235000,30547,1732
Etterbeek,1040,apartment,195000,1,64,0,0,0,0,0,0,0,0,2,1920,1,302,1,323500,23665,3046
Brasschaat,2930,villa,1700000,6,562,1,0,0,0,0,0,1,2325,4,2008,5,133,5,385000,31614,3024
Bruxelles,1000,apartment,229500,1,65,1,0,0,0,0,0,0,0,2,1956,1,326,3,275000,21541,3530
Brasschaat,2930,apartment,285000,2,101,1,0,0,0,0,0,0,0,2,1980,5,157,3,385000,31614,2821
Woluwe-saint-lambert,1200,apartment,245000,1,68,1,0,1,12,0,0,1,0,2,1976,3,196,5,369000,27210,3602
Molenbeek-saint-jean,1080,apartment,265000,2,83,1,0,1,4,0,0,0,0,2,2020,5,94,5,215000,21062,3192
Turnhout,2300,house,549000,4,206,1,0,0,0,0,0,0,1090,3,2018,6,89,3,250000,27404,2665
Brasschaat,2930,villa,865000,3,188,1,0,0,0,0,0,1,1485,2,1987,6,99,3,385000,31614,4601
Molenbeek-saint-jean,1080,apartment,295000,3,98,1,0,1,5,0,0,0,0,2,2004,3,210,5,215000,21062,3010
Woluwe-saint-lambert,1200,apartment,435000,2,93,1,1,1,16,0,0,0,0,2,2016,5,58,5,369000,27210,4677
Waterloo,1410,villa,1900000,4,443,1,0,1,1,1,1,1,4520,4,2008,4,188,5,475000,31143,4288
Roosdaal,1760,house,425000,3,232,1,0,0,0,0,0,0,580,2,1967,3,354,2,355000,33632,1831
Rotselaar,3110,house,549000,3,209,1,0,0,0,0,0,0,1361,4,1993,5,143,3,360400,35967,2626
Fleurus,6223,house,295000,2,115,1,0,0,0,1,470,0,1023,4,1977,3,270,3,190000,25429,2565
Deinze,9800,apartment,175000,1,60,0,0,0,0,0,0,0,0,2,1990,6,98,5,320500,31900,2916
Berlare,9290,house,299000,3,130,1,0,0,0,0,0,0,916,4,1974,1,725,1,306750,30292,2300
Mont-saint-guibert,1435,house,300000,2,90,1,0,0,0,0,0,0,1025,4,1968,0,979,3,340000,30494,3333
Tienen,3300,house,329000,5,212,1,0,0,0,0,0,0,676,3,1957,3,378,3,249000,29289,1551
Nivelles,1400,house,325000,3,147,1,0,1,10,1,110,0,161,2,1950,3,296,5,260000,28900,2210
Waasmunster,9250,villa,995000,4,327,0,0,1,1,1,1,0,1659,4,1997,4,239,5,360000,33735,3042
Wavre,1300,house,695000,5,325,1,0,0,0,0,0,0,3175,4,1976,4,249,2,310000,28507,2138
Forest,1190,house,765000,5,360,0,0,1,18,1,500,0,820,3,1875,0,395,2,280000,22908,2125
Schilde,2970,villa,1695000,5,360,1,0,0,0,0,0,1,2100,4,1971,5,134,5,500000,33742,4708
Dilbeek,1702,house,299000,3,105,1,0,0,0,0,0,0,218,2,1974,4,277,3,385000,32113,2847
Woluwe-saint-lambert,1200,house,945000,5,353,1,0,0,0,1,104,0,222,2,1928,2,226,3,369000,27210,2677
Waterloo,1410,penthouse,499000,3,130,1,0,1,8,0,0,0,0,4,1999,5,132,5,475000,31143,3838
Quaregnon,7390,villa,299000,3,142,1,0,0,0,0,0,0,928,4,1993,1,443,5,135000,23070,2105
Uccle,1180,apartment,695000,3,200,1,0,1,16,0,0,0,0,2,1966,4,132,3,390000,26467,3475
Woluwe-saint-pierre,1150,villa,1385000,4,260,1,0,1,72,1,460,0,547,4,1966,3,175,5,465000,29516,5326
Forest,1190,duplex,375000,4,200,1,0,0,0,0,0,0,0,2,1924,0,618,1,280000,22908,1875
Ixelles,1050,apartment,795000,2,185,1,0,1,2,0,0,0,0,3,1914,2,256,5,350000,23014,4297
Herk-de-stad,3540,apartment,350000,2,128,1,0,0,0,0,0,0,0,2,2024,6,25,3,278000,31143,2734
Middelkerke,8430,flat-studio,140000,1,54,1,1,0,0,0,0,0,0,2,1968,5,196,3,200000,27292,2592
Montigny-le-tilleul,6110,house,320000,2,180,1,0,1,30,0,0,0,858,4,1980,0,570,2,244500,30302,1777
Blankenberge,8370,apartment,750000,2,200,1,0,1,42,0,0,0,0,4,2020,6,69,5,235000,25711,3750
Dendermonde,9200,house,328000,4,146,0,0,0,0,0,0,0,160,2,1931,4,279,5,265000,30172,2246
Woluwe-saint-pierre,1150,apartment,1195000,3,210,1,0,1,54,0,0,0,0,3,2015,4,150,5,465000,29516,5690
Turnhout,2300,house,259000,2,116,0,0,0,0,0,0,0,121,2,1910,5,171,3,250000,27404,2232
Uccle,1180,apartment,1200000,4,291,1,0,1,28,0,0,0,0,4,1975,4,109,5,390000,26467,4123
Charleroi,6000,flat-studio,65000,1,25,0,0,0,0,0,0,0,0,2,1977,4,206,2,132000,22526,2600
Uccle,1180,ground-floor,1375000,3,246,0,0,1,50,0,0,0,0,2,1992,2,237,5,390000,26467,5589
Tournai,7500,apartment,129000,2,69,1,0,0,0,0,0,0,0,2,1950,2,345,1,195000,25518,1869
Auderghem,1160,penthouse,1495000,3,210,1,0,1,190,0,0,0,0,4,2022,6,44,5,363000,28443,7119
Maasmechelen,3630,apartment,299000,2,71,0,0,0,0,0,0,0,0,3,2017,5,122,5,240000,26878,4211
Manage,7170,villa,340000,3,190,0,0,0,0,0,0,0,1232,4,1936,2,418,3,165000,24456,1789
Diksmuide,8600,house,165000,4,301,0,0,0,0,0,0,0,358,2,1930,1,636,3,255000,28142,548
Schoten,2900,apartment,205000,2,82,1,0,1,7,0,0,0,0,2,1968,5,133,3,330550,31175,2500
Asse,1730,town-house,349000,3,105,1,0,1,7,0,0,0,99,2,1968,4,286,5,288000,29699,3323
Etterbeek,1040,flat-studio,299000,1,45,1,0,1,9,1,20,0,0,2,2015,4,133,5,323500,23665,6644
Grembergen,9200,house,349000,4,166,1,0,0,0,0,0,0,1030,2,1980,2,488,3,265000,30172,2102
Grembergen,9200,house,349000,4,166,1,0,0,0,0,0,0,1030,2,1980,2,488,3,265000,30172,2102
Stekene,9190,villa,865000,6,347,1,0,0,0,0,0,0,1480,4,2013,6,93,3,295000,31641,2492
Aalst,9300,house,350000,3,129,1,0,0,0,0,0,0,740,4,1874,1,710,1,265000,29669,2713
Denderleeuw,9470,ground-floor,239000,2,98,1,0,0,0,0,0,0,0,2,1990,5,166,3,271000,30889,2438
Pont-a-celles,6230,house,199900,3,200,0,0,1,20,1,100,0,740,3,1930,3,287,2,231500,29956,999
Tienen,3300,house,256000,2,151,0,0,0,0,0,0,0,627,4,1930,1,681,3,249000,29289,1695
Mechelen,2800,house,319000,3,128,1,0,0,0,1,25,0,85,2,1918,4,266,4,312500,29870,2492
Gent,9000,house,325000,4,148,1,0,1,30,0,0,0,89,2,1930,4,233,2,335000,27,2195
Deinze,9800,house,325000,3,216,0,0,0,0,0,0,0,468,4,1939,1,833,1,320500,31900,1504
Diest,3290,apartment,295000,2,108,0,0,0,0,0,0,0,0,2,1999,5,179,3,275000,31304,2731
Asse,1730,house,335000,3,124,1,0,0,0,0,0,0,141,2,1961,3,340,3,288000,29699,2701
Kontich,2550,house,265000,2,168,0,0,0,0,1,85,0,159,2,1943,2,484,1,359000,33894,1577
Liege,4000,house,375000,4,182,1,0,1,22,0,0,0,283,2,1937,5,151,3,170000,22738,2060
Waterloo,1410,house,649000,4,244,1,0,1,23,0,0,0,264,2,2024,6,47,5,475000,31143,2659
Mortsel,2640,apartment,265000,3,140,0,0,0,0,0,0,0,0,3,1970,3,371,3,339500,31213,1892
Ranst-oelegem,2520,house,383000,3,117,1,0,0,0,1,200,0,624,4,1973,2,490,2,382500,33353,3273
Mortsel,2640,house,399000,3,159,1,0,0,0,0,0,0,104,2,1955,4,252,4,339500,31213,2509
Sint-pieters-leeuw,1600,house,435000,3,175,1,0,1,24,1,300,0,300,3,1957,2,423,3,325000,29043,2485
Kraainem,1950,house,880000,5,273,0,0,1,25,1,260,0,353,3,1992,5,175,3,530000,32881,3223
Ciney,5590,house,149000,2,80,1,0,1,30,0,0,0,66,2,1899,4,242,3,228000,26679,1862
Jodoigne-jauchelette,1370,house,479000,4,150,1,0,0,0,0,0,0,722,3,2008,5,151,5,282500,28112,3193
Arendonk,2370,villa,945000,6,434,0,0,0,0,0,0,0,2176,4,1998,5,142,5,294500,30737,2177
Glabais,1473,house,1750000,4,235,1,0,0,0,0,0,0,8105,4,1972,3,303,5,375000,31074,7446
Boom,2850,house,229000,2,84,1,0,0,0,0,0,0,195,2,1989,1,792,3,258000,27780,2726
Amay,4540,apartment,299500,3,115,1,0,1,14,0,0,0,0,2,2020,6,63,5,200000,27135,2604
Brasschaat,2930,villa,1775000,4,450,0,0,0,0,0,0,0,1960,4,1951,4,300,3,385000,31614,3944
Halle,1500,house,219000,2,80,0,0,1,12,1,30,0,110,2,1918,2,407,1,308250,30101,2737
Lokeren,9160,house,259900,3,150,0,0,0,0,0,0,0,562,3,1899,1,648,1,295000,30290,1732
Heist-op-den-berg,2220,house,399000,5,218,0,0,0,0,0,0,0,1046,4,1974,1,572,2,325000,30714,1830
Gent,9000,house,599000,4,177,1,0,1,13,0,0,0,120,2,2024,6,43,5,335000,27,3384
Wuustwezel,2990,house,249000,2,98,1,0,0,0,0,0,0,1000,4,1977,2,417,3,346000,30687,2540
Oostende,8400,apartment,375000,2,81,1,0,1,11,0,0,0,0,4,2014,6,83,5,235000,25991,4629
Woluwe-saint-lambert,1200,penthouse,430000,2,91,1,0,1,9,0,0,0,0,2,1985,4,121,5,369000,27210,4725
Wasseiges,4219,house,255000,3,158,1,0,0,0,1,300,0,566,3,1920,2,360,1,185000,28265,1613
Aiseau-presles-roselies,6250,house,130000,2,100,0,0,1,20,1,415,0,505,4,1850,2,349,1,185000,25834,1300
Beerse,2340,exceptional-property,645000,7,541,1,0,0,0,0,0,0,2864,4,1943,5,168,3,375000,32645,1192
Menen-rekkem,8930,villa,790000,4,262,1,0,0,0,1,740,0,1040,4,2015,6,71,5,180000,26819,3015
Liege,4000,house,288500,6,265,1,0,1,20,1,25,0,130,2,1914,3,310,2,170000,22738,1088
Maasmechelen,3630,apartment,219000,2,124,0,0,0,0,0,0,0,0,2,1995,4,263,3,240000,26878,1766
Grimbergen,1850,villa,595000,4,200,0,0,1,25,1,350,0,720,4,1975,3,318,5,351000,31773,2975
Pollinkhove,8647,house,415000,5,280,1,0,0,0,0,0,0,404,2,1874,2,498,3,210000,27676,1482
Turnhout,2300,apartment,205000,2,89,1,0,1,5,0,0,0,0,3,1973,5,140,3,250000,27404,2303
Sint-truiden,3800,house,399000,2,220,0,0,0,0,0,0,0,1610,4,1977,3,302,3,239000,28162,1813
Willebroek,2830,apartment,240000,2,78,1,0,0,0,0,0,0,0,3,1998,3,307,3,286750,29939,3076
Schilde,2970,villa,1980000,4,350,1,0,0,0,0,0,0,3159,4,2020,6,26,5,500000,33742,5657
Oupeye,4680,apartment,149000,2,69,1,0,1,4,0,0,0,0,3,1968,3,290,5,220000,26992,2159
Aartselaar,2630,house,569000,3,211,1,0,1,150,1,600,0,873,3,2007,5,135,5,355000,34397,2696
Bassenge,4690,apartment,159000,2,69,0,0,0,0,0,0,0,0,3,2009,0,871,5,193000,28381,2304
Overijse,3090,exceptional-property,1380000,5,401,1,0,0,0,0,0,0,4284,3,1895,1,542,3,517500,33781,3441
Namur,5000,apartment,165000,2,72,0,0,0,0,0,0,0,0,2,1989,4,152,3,250000,26345,2291
Arlon,6700,house,515000,4,250,1,0,1,38,0,0,0,260,2,1920,4,194,5,286500,34008,2060
Geel,2440,duplex,299000,2,97,1,0,1,15,0,0,0,0,2,2020,6,34,3,270000,30648,3082
Oupeye,4680,house,319000,5,260,1,0,1,18,1,735,0,1102,4,1992,3,328,1,220000,26992,1226
Roosdaal,1760,house,460000,5,364,0,0,0,0,0,0,0,1436,3,1969,4,274,3,355000,33632,1263
La-louviere,7100,house,169000,4,223,1,0,0,0,0,0,0,185,2,1918,2,420,3,155000,23915,757
Oupeye,4680,ground-floor,175000,2,82,1,0,0,0,0,0,0,0,2,1976,3,264,3,220000,26992,2134
Ixelles,1050,flat-studio,180000,1,43,0,0,0,0,0,0,0,0,2,1936,0,416,3,350000,23014,4186
Anderlecht,1070,apartment,310000,2,101,1,0,0,0,0,0,0,0,2,1900,3,178,5,220000,21336,3069
Hamoir,4180,house,199000,5,210,1,0,0,0,0,0,0,185,3,1850,2,364,3,182500,26698,947
Kalmthout,2920,house,359000,3,214,1,0,0,0,1,120,0,315,3,1968,4,296,3,400000,33167,1677
Koekelberg,1081,apartment,280000,3,120,0,0,1,8,0,0,0,0,2,1988,0,471,2,230000,22526,2333
Zwijndrecht,2070,villa,560000,4,255,1,0,1,28,1,950,0,1210,4,1960,4,296,4,280000,31143,2196
Schoten,2900,house,549900,7,281,1,0,0,0,1,1000,0,1323,3,1962,4,296,3,330550,31175,1956
Antwerpen,2000,apartment,475000,2,146,1,0,0,0,0,0,0,0,3,1990,3,336,3,260000,25683,3253
Rixensart,1330,house,595000,4,209,0,0,1,9,0,0,0,1160,4,1973,1,461,2,450000,29985,2846
Lubbeek,3210,villa,689000,3,272,1,0,1,25,0,0,0,1710,4,1973,4,297,3,390000,36800,2533
Woluwe-saint-pierre,1150,apartment,330000,1,60,1,0,1,13,0,0,0,0,2,1991,2,243,5,465000,29516,5500
Kapellen,2950,villa,695000,5,214,0,0,1,50,1,500,0,765,4,1966,3,329,3,365250,33995,3247
Adinkerke,8660,house,165000,2,106,1,0,0,0,0,0,0,240,3,1938,1,715,1,227000,26096,1556
Lommel,3920,house,539000,5,188,1,0,0,0,0,0,1,2223,4,1994,5,157,2,285000,30215,2867
Ieper,8900,apartment,180000,2,88,1,0,0,0,0,0,0,0,2,1981,5,177,3,250000,28243,2045
Chiny-jamoigne,6810,house,320000,4,197,1,0,0,0,1,222,0,292,3,1961,4,251,5,249000,28380,1624
Evere,1140,apartment,185000,1,62,0,0,1,3,0,0,0,0,2,1963,1,333,1,257500,24158,2983
Ronse,9600,villa,399000,4,197,1,0,1,30,1,485,0,992,4,1971,3,371,4,203500,25716,2025
Zedelgem,8210,villa,345000,4,293,0,0,1,20,0,0,0,637,4,1972,1,508,1,348000,32732,1177
Evere,1140,apartment,177500,1,60,0,0,1,2,0,0,0,0,2,1963,0,363,4,257500,24158,2958
Habay-habay-la-neuve,6720,house,420000,4,180,1,0,0,0,1,354,0,461,3,1899,4,248,5,290000,33106,2333
