Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2
Chatelet,6200,villa,280000,3,195,1,0,0,0,1,800,1,1289,4,2004,1,460,1,150000,23513,1435
Gent,9000,penthouse,479000,3,142,1,0,1,8,0,0,0,0,2,2024,6,57,5,335000,27,3373
Woluwe-saint-lambert,1200,apartment,790000,3,222,1,0,1,13,0,0,0,0,2,1990,4,143,5,369000,27210,3558
Woluwe-saint-pierre,1150,house,398000,3,119,0,0,0,0,0,0,0,172,2,1956,0,407,1,465000,29516,3344
Kalmthout,2920,house,558000,3,201,0,0,0,0,0,0,0,733,4,1992,4,216,3,400000,33167,2776
Nivelles,1400,apartment,230000,3,150,1,0,0,0,0,0,0,0,2,1982,5,110,2,260000,28900,1533
Mol,2400,villa,565000,5,588,0,0,0,0,0,0,0,1250,4,1970,3,361,3,268000,30380,960
Waregem,8790,house,295000,3,182,0,0,0,0,0,0,0,281,3,1972,3,327,3,292000,30342,1620
Herk-de-stad,3540,villa,569000,4,245,0,0,0,0,0,0,1,989,4,1998,4,236,5,278000,31143,2322
Ninove,9400,villa,349000,3,199,1,0,0,0,0,0,0,365,4,1985,1,616,3,260000,29589,1753
Kapellen,2950,house,389000,5,183,0,0,1,20,0,0,0,219,2,1986,5,162,3,365250,33995,2125
Hoogstraten,2328,house,575000,2,300,0,0,0,0,0,0,0,619,4,1958,3,345,3,385000,29848,1916
Virton,6760,house,230000,4,153,0,0,1,50,0,0,0,2690,4,1954,0,653,1,220000,27556,1503
Aalst,9300,house,119000,3,130,0,0,1,30,1,30,0,80,2,1874,4,231,1,265000,29669,915
Sombreffe,5140,house,324000,4,135,1,0,0,0,1,340,0,340,3,1919,4,252,4,245000,30713,2400
Huy,4500,apartment,189500,2,75,1,0,0,0,0,0,0,0,4,2012,6,83,3,196000,24184,2526
Londerzeel,1840,house,590000,5,325,0,0,0,0,0,0,0,516,2,1936,5,182,3,369000,32899,1815
Arlon,6700,house,349000,3,136,1,0,0,0,1,719,0,719,4,1965,1,449,3,286500,34008,2566
Woluwe-saint-lambert,1200,apartment,450000,3,120,1,0,1,15,0,0,0,0,2,1970,3,198,3,369000,27210,3750
Molenbeek-saint-jean,1080,apartment,270000,2,85,1,0,1,4,0,0,0,0,2,1960,3,170,5,215000,21062,3176
Antwerpen,2000,apartment,269000,1,55,0,0,0,0,0,0,0,0,2,1955,4,235,3,260000,25683,4890
Jodoigne,1370,house,245000,4,167,0,0,1,26,1,186,0,311,2,1890,3,291,3,282500,28112,1467
Oudenburg,8460,house,595000,4,269,0,0,0,0,0,0,0,710,4,1996,5,159,3,287000,30899,2211
Geraardsbergen,9500,apartment,272500,2,75,1,0,1,4,0,0,0,0,2,2018,6,72,5,238500,29578,3633
Bertrix,6880,apartment,109000,1,96,1,0,1,12,0,0,0,0,3,1977,3,334,4,187000,25881,1135
Waregem,8790,house,449500,4,184,1,0,0,0,0,0,0,982,3,1969,4,296,3,292000,30342,2442
Kapellen,2950,house,299900,2,110,1,0,0,0,0,0,0,128,3,1939,3,324,3,365250,33995,2726
Brussel,1000,apartment,279000,1,75,1,0,1,20,0,0,0,0,2,2013,3,183,3,275000,21541,3720
Brasschaat,2930,house,327000,3,147,0,0,0,0,0,0,0,230,2,1935,1,762,2,385000,31614,2224
Arlon,6700,apartment,280000,3,89,1,0,0,0,0,0,0,0,2,2005,5,139,3,286500,34008,3146
Wetteren,9230,apartment,259000,3,82,1,0,1,100,0,0,0,0,2,1978,2,483,3,280000,30041,3158
Paliseul,6850,house,165000,3,150,1,0,0,0,0,0,0,335,3,1945,0,547,3,204500,26189,1100
Schoten,2900,house,285000,2,120,1,0,0,0,0,0,0,40,2,1959,3,337,4,330550,31175,2375
Bredene,8450,apartment,289000,2,84,1,0,0,0,0,0,0,0,2,2017,6,87,3,247000,30047,3440
Saint-jean-geest,1370,exceptional-property,1250000,5,500,0,0,0,0,0,0,0,6549,4,1800,4,233,4,282500,28112,2500
Schaerbeek,1030,apartment,295000,1,72,1,0,1,9,1,25,0,0,2,2009,4,123,5,275000,21912,4097
Hoevenen,2940,house,325000,3,158,0,0,0,0,0,0,0,199,2,1974,4,220,3,305000,33477,2056
Ixelles,1050,apartment,295000,2,79,1,0,1,9,0,0,0,0,2,1950,3,184,3,350000,23014,3734
Schoten,2900,villa,1695000,5,554,0,0,0,0,0,0,1,2660,4,1990,5,182,5,330550,31175,3059
Hannuit,4280,apartment,295000,2,99,1,0,1,12,1,175,0,0,4,2013,5,88,5,249000,29642,2979
Brugge,8000,house,545000,4,312,0,0,0,0,0,0,0,106,2,1951,4,236,3,310000,29506,1746
Hasselt,3500,house,665000,3,290,0,0,0,0,0,0,0,384,2,2001,5,130,5,285000,30208,2293
Blankenberge,8370,apartment,295000,2,91,0,0,0,0,0,0,0,0,2,1899,4,288,3,235000,25711,3241
Kraainem,1950,house,745000,3,235,0,0,1,7,1,470,1,695,2,1975,4,245,5,530000,32881,3170
Gent,9000,apartment,375000,2,94,1,0,0,0,0,0,0,0,2,1960,4,241,3,335000,27,3989
Tienen,3300,house,445000,3,180,1,0,0,0,1,458,0,629,4,1987,1,579,3,249000,29289,2472
Ixelles,1050,apartment,485000,2,82,1,1,1,12,0,0,0,0,2,2012,3,153,5,350000,23014,5914
Auderghem,1160,house,695000,5,201,0,0,1,25,1,235,0,318,2,1931,2,220,2,363000,28443,3457
Oud-turnhout,2360,villa,695000,5,316,0,0,0,0,0,0,0,2789,4,1983,4,267,3,330000,32681,2199
Ninove,9400,apartment,295000,3,157,0,0,0,0,0,0,0,0,3,1984,3,384,2,260000,29589,1878
Anderlecht,1070,house,469000,3,213,1,0,1,7,1,33,0,33,2,1969,2,215,5,220000,21336,2201
Avelgem,8580,apartment,485000,3,214,1,0,1,17,1,1,0,0,2,2018,5,151,5,243850,29852,2266
Auderghem,1160,apartment,310000,2,74,1,0,1,18,0,0,0,0,2,1970,4,118,3,363000,28443,4189
Anderlecht,1070,apartment,195000,2,86,0,0,1,21,0,0,0,0,4,1969,4,131,3,220000,21336,2267
Uitbergen,9290,house,595000,4,255,1,0,0,0,0,0,0,578,3,2014,6,91,3,306750,30292,2333
Vilvoorde,1800,house,485000,3,205,1,0,1,70,1,121,0,204,2,1937,5,193,3,300000,29017,2365
Nieuwerkerken,3850,villa,625000,4,318,1,0,0,0,0,0,0,2794,4,1998,4,244,5,288750,30694,1965
Grimbergen,1850,villa,499000,4,220,0,0,0,0,0,0,0,712,4,1989,3,322,3,351000,31773,2268
Sint-jans-molenbeek,1080,apartment,255000,2,85,0,0,0,0,0,0,0,0,2,2006,3,196,3,215000,21062,3000
Borgloon,3840,house,435000,5,399,0,0,0,0,0,0,0,1221,4,1979,4,238,2,260000,29600,1090
Meix-devant-virtonhoudrigny,6769,house,479000,4,255,1,0,1,60,0,0,0,2660,4,2006,4,176,5,185000,29860,1878
Leuven,3000,apartment,265000,1,62,0,0,0,0,0,0,0,0,2,1988,3,372,3,340000,30408,4274
Sint-jans-molenbeek,1080,flat-studio,135000,1,63,0,0,1,8,0,0,0,0,2,1968,3,196,1,215000,21062,2142
Aalst,9300,apartment,124999,1,48,0,0,0,0,0,0,0,0,2,1989,3,338,3,265000,29669,2604
Bassenge,4690,villa,565000,4,300,1,0,0,0,0,0,0,3278,4,1978,4,239,3,193000,28381,1883
Wavre,1300,villa,575000,4,210,1,0,1,14,0,0,0,1485,4,1977,4,246,2,310000,28507,2738
Saint-gilles,1060,apartment,390000,4,118,0,0,0,0,0,0,0,0,2,1949,1,276,3,291000,20648,3305
Duffel,2570,house,249000,4,177,0,0,0,0,0,0,0,143,2,1918,1,673,2,295000,30866,1406
Turnhout,2300,house,575000,4,293,1,0,0,0,1,430,0,734,4,1952,4,245,4,250000,27404,1962
Courcelles,6180,house,109000,2,152,0,0,0,0,1,700,0,1142,3,1918,2,411,1,167000,25176,717
Kontich,2550,villa,570000,5,228,1,0,0,0,1,496,0,633,4,1973,2,462,3,359000,33894,2500
Beveren,9120,house,399000,4,206,1,0,1,20,1,170,0,280,2,2018,6,99,4,296500,32302,1936
Bruxelles,1000,apartment,425000,2,113,0,0,0,0,0,0,0,0,2,1973,4,130,2,275000,21541,3761
Heist-aan-zee,8301,house,510000,4,189,0,0,1,15,0,0,0,90,2,1962,2,406,5,592500,28601,2698
Oupeye,4680,house,299000,3,120,0,0,0,0,1,550,0,872,4,1967,0,594,1,220000,26992,2491
Ronse,9600,house,145000,2,116,1,0,1,16,0,0,0,128,2,1920,4,231,3,203500,25716,1250
Boom,2850,house,198000,2,63,1,0,1,20,0,0,0,63,2,1900,3,347,3,258000,27780,3142
Sint-pieters-leeuw,1600,house,349000,3,177,0,0,1,31,0,0,0,386,2,1960,4,223,2,325000,29043,1971
Bruxelles,1040,flat-studio,295000,1,49,1,1,1,4,0,0,0,0,2,2016,5,58,5,323500,23665,6020
Maldegem,9990,house,599500,5,200,1,0,1,25,0,0,0,355,3,2021,6,27,5,294000,30415,2997
Deerlijk,8540,house,425000,3,193,1,0,0,0,0,0,0,629,3,1962,5,200,5,295000,31768,2202
Overijse,3090,house,375000,3,135,1,0,0,0,1,385,0,385,3,1974,2,421,2,517500,33781,2777
Woluwe-saint-lambert,1200,house,750000,5,225,1,0,1,15,1,120,0,200,2,1924,0,404,1,369000,27210,3333
Sint-pieters-leeuw,1600,house,385000,4,153,0,0,0,0,0,0,0,268,2,1978,4,267,3,325000,29043,2516
Woluwe-saint-pierre,1150,house,1195000,4,285,1,0,1,20,1,200,0,418,3,1995,2,226,5,465000,29516,4192
Erpe-mere,9420,house,249000,4,220,1,0,0,0,0,0,0,418,3,1963,1,554,1,287580,32874,1131
Vilvoorde-koningslo,1800,apartment,260000,2,78,0,0,1,2,0,0,0,0,3,1970,4,285,3,300000,29017,3333
Evergem,9940,house,369000,2,102,0,0,0,0,1,211,0,313,4,1971,3,363,5,337500,33011,3617
Ixelles,1050,apartment,250000,1,45,1,0,1,22,1,70,0,0,2,1949,0,394,3,350000,23014,5555
Saint-nicolas,4420,house,120000,3,146,0,0,0,0,0,0,0,156,2,1918,2,406,1,170000,24020,821
Deerlijk,8540,house,120000,2,114,0,0,0,0,0,0,0,228,2,1918,1,821,1,295000,31768,1052
Eprave,5580,house,239000,4,149,1,0,0,0,0,0,0,101,2,2019,5,110,5,172500,26283,1604
Sint-pieters-woluwe,1150,apartment,269000,2,78,0,0,0,0,0,0,0,0,2,1929,0,385,1,465000,29516,3448
Oostende,8400,apartment,339000,2,100,1,0,0,0,0,0,0,0,2,1966,5,197,3,235000,25991,3390
Steenokkerzeel,1820,duplex,429000,4,243,1,0,1,11,0,0,0,0,2,2019,6,61,5,425000,33462,1765
Turnhout,2300,apartment,195000,2,80,0,0,0,0,0,0,0,0,2,1989,5,193,3,250000,27404,2437
Edegem,2650,house,1300000,4,264,1,0,0,0,0,0,0,425,4,1965,5,179,5,339900,34133,4924
Ertvelde,9940,house,314000,3,128,0,0,0,0,0,0,0,444,3,1971,2,472,1,337500,33011,2453
Engis,4480,house,139000,2,149,0,0,0,0,0,0,0,132,3,1919,1,442,3,176000,25939,932
Borgloon,3840,house,455000,4,383,1,0,0,0,0,0,0,865,4,1976,3,395,2,260000,29600,1187
Gistel,8470,house,189000,2,136,0,0,0,0,1,92,0,184,2,1946,1,552,1,280000,30301,1389
Uccle,1180,villa,1395000,6,310,1,0,1,30,1,640,0,840,3,1937,2,255,5,390000,26467,4500
Avelgem,8580,house,350000,3,167,0,0,0,0,1,425,0,741,4,2014,5,190,5,243850,29852,2095
Lint,2547,house,525000,4,187,1,0,0,0,0,0,0,330,3,1930,5,178,3,370000,34512,2807
Rotselaar,3110,house,590000,3,207,0,0,0,0,0,0,1,1013,4,1992,5,188,5,360400,35967,2850
Bruxelles,1000,house,1595000,6,370,1,0,1,11,1,80,0,190,2,1870,1,299,3,275000,21541,4310
Libramont-chevigny,6800,house,350000,4,165,1,0,1,10,1,800,0,972,4,1975,0,570,1,224500,27968,2121
Hemiksem,2620,house,290000,3,134,0,0,0,0,0,0,0,360,3,1925,2,476,3,265000,32465,2164
Hove,2540,house,289000,3,152,0,0,0,0,0,0,0,194,2,1950,2,408,2,454000,35621,1901
Schoten,2900,villa,1895000,5,673,1,0,0,0,0,0,0,3388,4,1993,5,156,3,330550,31175,2815
Mortsel,2640,house,375000,2,154,1,0,0,0,0,0,0,212,2,1958,1,693,3,339500,31213,2435
De-klinge,9170,house,343000,3,165,1,0,0,0,0,0,0,310,2,1995,4,234,3,330000,31678,2078
Lint,2547,house,379000,4,191,0,0,0,0,0,0,0,961,4,1875,1,690,1,370000,34512,1984
Nivelles,1400,house,350000,4,180,1,0,1,8,1,60,0,162,2,1953,2,353,2,260000,28900,1944
Hove,2540,villa,595000,3,175,1,0,0,0,0,0,0,472,4,1989,3,314,3,454000,35621,3400
Jette,1090,apartment,385000,3,126,1,0,1,13,0,0,0,0,2,2019,4,119,5,235000,24171,3055
Aalst,9300,house,379000,5,180,1,0,1,20,1,285,0,375,2,1952,4,222,3,265000,29669,2105
Oudenaarde,9700,house,398000,3,144,0,0,0,0,0,0,0,856,4,1956,3,378,3,275000,30647,2763
Borsbeek,2150,house,575000,3,130,1,0,0,0,0,0,0,962,4,1960,1,765,3,259000,29577,4423
Mortsel,2640,apartment,259000,2,115,1,0,0,0,0,0,0,0,2,1988,6,96,3,339500,31213,2252
Overijse,3090,house,430000,3,180,1,0,1,20,1,50,0,511,4,1925,1,535,1,517500,33781,2388
Rixensart,1330,exceptional-property,1300000,6,443,1,0,0,0,0,0,1,4576,4,1896,3,334,3,450000,29985,2934
Soignies,7060,house,319000,3,135,0,0,1,34,1,75,0,283,2,2012,5,147,5,220000,27972,2362
Zwevezele,8750,house,1350000,8,800,1,0,0,0,0,0,0,2772,4,1830,4,276,5,345000,30459,1687
Lendelede,8860,house,329000,3,167,0,0,1,30,0,0,0,267,4,2008,5,193,5,262500,31154,1970
Lier-koningshooikt,2500,house,280000,2,125,0,0,0,0,0,0,0,910,3,1956,1,690,1,290000,29623,2240
Anderlecht,1070,town-house,440000,3,140,1,0,1,5,1,120,0,245,2,1960,0,539,2,220000,21336,3142
Harelbeke,8530,house,249000,4,213,0,0,1,22,1,22,0,58,2,1950,5,179,3,235000,30547,1169
Zottegem,9620,house,285000,3,130,1,0,1,30,0,0,0,115,2,1900,4,295,3,260000,32118,2192
Oosterzele,9860,house,449000,3,196,0,0,0,0,0,0,0,1620,4,1967,1,672,1,360000,35110,2290
Hove,2540,house,579000,3,186,0,0,1,21,0,0,0,333,3,1958,4,267,3,454000,35621,3112
Fosses-la-ville,5070,villa,630000,5,350,1,0,0,0,0,0,0,2800,4,1976,4,192,4,220000,27915,1800
Nivelles,1400,house,295000,4,135,1,0,1,26,0,0,0,120,2,1900,3,289,3,260000,28900,2185
Zottegem,9620,villa,790000,4,600,0,1,0,0,0,0,0,2603,4,1963,1,541,2,260000,32118,1316
Wezembeek-oppem,1970,house,747000,5,195,1,0,1,40,1,357,0,682,4,1963,1,817,1,520000,33282,3830
Tienen,3300,house,295000,4,142,0,0,1,28,1,246,0,430,2,1965,2,414,5,249000,29289,2077
Zaventem,1930,town-house,450000,6,225,1,0,1,15,1,65,0,182,3,1976,4,288,3,379500,29918,2000
Watermael-boitsfort,1170,house,795000,5,175,1,0,1,10,1,60,0,133,2,2000,4,139,3,429500,26474,4542
Auderghem,1160,apartment,285000,2,98,0,0,1,8,0,0,0,0,4,1964,3,192,2,363000,28443,2908
Boom,2850,apartment,269000,2,90,1,0,0,0,0,0,0,0,2,1995,5,131,3,258000,27780,2988
Tienen,3300,house,519000,3,232,1,0,1,40,1,450,0,574,3,2020,6,22,5,249000,29289,2237
Marche-en-famenne,6900,house,295000,5,190,0,0,1,20,0,0,0,933,4,1968,2,381,3,230000,26665,1552
Uccle,1180,house,1990000,6,693,1,0,0,0,0,0,0,485,2,1927,3,177,4,390000,26467,2871
Geraardsbergen,9500,villa,369000,5,320,1,0,1,40,1,537,0,747,4,1966,1,525,3,238500,29578,1153
Edegem,2650,apartment,269000,2,105,1,0,1,10,0,0,0,0,2,1977,5,166,3,339900,34133,2561
Yvoir,5530,house,309000,4,150,1,0,0,0,0,0,0,784,4,2000,4,211,3,250000,29519,2060
Molenbeek-saint-jean,1080,apartment,470000,5,168,1,0,1,14,0,0,0,0,2,2009,5,94,3,215000,21062,2797
Deinze,9800,apartment,255000,1,61,1,0,1,18,0,0,0,0,2,2018,6,39,5,320500,31900,4180
Gent,9000,house,295000,4,135,0,0,0,0,1,53,0,112,2,1937,2,441,3,335000,27,2185
Ronse,9600,house,239000,4,160,1,0,1,25,1,100,0,230,2,1919,3,319,3,203500,25716,1493
Schaerbeek,1030,apartment,360000,3,105,1,0,1,18,0,0,0,0,2,1968,3,188,5,275000,21912,3428
Ixelles,1050,penthouse,375000,2,110,1,0,0,0,0,0,0,0,2,1945,0,703,3,350000,23014,3409
Molenbeek-saint-jean,1080,penthouse,325000,3,128,1,0,1,40,0,0,0,0,2,2010,3,164,5,215000,21062,2539
Berchem-sainte-agathe,1082,apartment,180000,1,74,1,0,0,0,0,0,0,0,2,1967,2,226,3,267500,24327,2432
Zulte,9870,house,309000,4,150,1,0,0,0,1,443,0,443,4,1973,3,366,3,309000,31603,2060
Gent,9000,apartment,340000,2,101,1,0,0,0,0,0,0,0,2,2000,5,106,5,335000,27,3366
Hannut,4280,house,315000,3,155,1,0,1,19,1,672,0,843,4,1965,0,526,3,249000,29642,2032
Evere,1140,penthouse,350000,3,114,0,0,0,0,0,0,0,0,2,1992,3,154,5,257500,24158,3070
Oupeye,4680,house,385000,4,404,1,0,0,0,1,170,0,387,3,1850,3,264,2,220000,26992,952
Hasselt,3500,duplex,425000,2,119,1,0,1,9,0,0,0,0,2,2005,5,120,3,285000,30208,3571
Puurs-sint-amands,2890,house,320000,3,134,1,0,1,15,0,0,0,80,2,1875,5,157,4,333551,33462,2388
Nieuwpoort,8620,apartment,199000,2,67,1,0,1,3,0,0,0,0,2,1994,4,299,3,260000,27342,2970
Geraardsbergen,9500,house,169000,4,160,1,0,1,12,0,0,0,68,2,1933,1,748,2,238500,29578,1056
Ronse,9600,apartment,495000,2,143,1,0,1,188,0,0,0,0,2,1970,4,276,3,203500,25716,3461
Jandrain,1350,house,495000,5,261,1,0,0,0,0,0,0,1298,4,1938,3,311,4,279000,30353,1896
Reet,2840,villa,1350000,7,489,1,0,0,0,0,0,1,6242,4,1965,1,719,1,320000,33441,2760
Sint-truiden,3800,house,299000,3,158,0,0,0,0,0,0,0,882,2,1951,3,362,5,239000,28162,1892
Molenbeek-saint-jean,1080,penthouse,225000,2,75,1,0,1,10,0,0,0,0,2,2008,4,145,5,215000,21062,3000
Bierbeek,3360,duplex,552499,3,120,1,0,1,7,0,0,1,0,4,2022,5,66,5,435000,37719,4604
Bruxelles,1190,duplex,495000,3,188,0,0,1,30,0,0,0,0,2,1920,2,238,2,280000,22908,2632
Aalst,9300,house,248000,3,118,1,0,0,0,0,0,0,70,2,1918,3,302,3,265000,29669,2101
Schilde,2970,house,689000,4,162,0,0,0,0,1,315,0,389,3,1962,6,47,5,500000,33742,4253
Keerbergen,3140,house,1649000,4,354,1,0,0,0,0,0,1,1680,4,2012,6,22,5,449500,35954,4658
Tervuren,3080,house,350000,3,120,1,0,1,10,0,0,0,115,2,1874,3,389,1,492000,34270,2916
Brasschaat,2930,villa,1650000,5,573,1,0,0,0,0,0,1,5710,4,1971,3,330,2,385000,31614,2879
Nijlen,2560,house,215000,2,183,1,0,0,0,0,0,0,260,3,1910,1,530,2,315000,31353,1174
S-gravenwezel,2970,villa,965000,4,325,0,0,1,40,0,0,0,990,4,1971,5,137,5,500000,33742,2969
Philippeville,5600,house,250000,4,137,1,0,1,23,1,152,0,307,2,2022,4,240,5,160000,26730,1824
Flcamalle,4400,house,265000,3,135,0,1,1,10,1,50,0,145,2,1900,4,206,5,190000,26199,1962
Woluwe-saint-pierre,1150,ground-floor,635000,3,160,1,0,1,17,1,17,0,0,3,2005,2,236,5,465000,29516,3968
Waremme,4300,house,395000,4,185,1,0,1,50,1,185,0,379,2,1960,3,337,3,210000,27485,2135
Leuven,3000,apartment,590000,3,162,0,0,0,0,0,0,0,0,2,1970,5,176,5,340000,30408,3641
Ixelles,1050,penthouse,745000,2,133,1,0,1,80,0,0,0,0,4,1982,2,274,5,350000,23014,5601
Uccle,1180,exceptional-property,2785000,4,450,1,0,0,0,0,0,1,1045,4,2015,4,112,5,390000,26467,6188
Ixelles,1050,triplex,875000,3,184,1,0,1,13,0,0,0,0,2,1904,5,55,5,350000,23014,4755
Anderlecht,1070,apartment,273000,2,71,0,0,1,6,0,0,0,0,3,2018,5,83,3,220000,21336,3845
Depanne,8660,apartment,420000,2,89,0,0,0,0,0,0,0,0,1,2008,6,78,3,227000,26096,4719
Brussels,1000,apartment,285000,2,80,1,0,0,0,0,0,0,0,1,1976,2,222,3,275000,21541,3562
Duinbergen,8301,apartment,995000,3,100,0,0,0,0,0,0,0,0,4,1988,5,117,5,592500,28601,9950
Blankenberge,8370,apartment,285000,2,72,0,1,0,0,0,0,0,0,2,1987,5,122,3,235000,25711,3958
Oostende,8400,house,485000,4,265,0,0,0,0,0,0,0,810,4,1976,1,610,1,235000,25991,1830
Ampsin,4540,house,199500,2,178,0,0,0,0,0,0,0,2264,2,1850,1,500,2,200000,27135,1120
Blankenberge,8370,apartment,355000,2,70,1,1,0,0,0,0,0,0,2,1987,6,90,3,235000,25711,5071
Halle,1500,house,400000,3,185,0,0,0,0,0,0,0,690,4,1936,4,271,5,308250,30101,2162
Niel,2845,house,239000,3,175,0,0,0,0,0,0,0,245,2,1962,2,430,1,255000,31517,1365
Kontich,2550,house,499000,3,205,1,0,0,0,1,250,0,316,3,1974,3,368,3,359000,33894,2434
Wenduine,8420,apartment,440000,2,95,1,0,1,25,0,0,0,0,2,2020,6,45,3,260000,28811,4631
Tongeren,3700,house,625000,4,225,1,0,0,0,0,0,0,692,4,2015,6,81,3,223000,28396,2777
Borgloon,3840,house,560000,4,290,1,0,1,96,0,0,0,777,4,2008,5,150,3,260000,29600,1931
Bertem,3060,house,559000,4,157,1,0,0,0,0,0,0,280,3,2012,5,122,5,415007,35141,3560
Amay,4540,house,290000,4,160,1,0,0,0,0,0,0,1150,2,1935,4,247,2,200000,27135,1812
Ravels,2380,house,525000,3,269,0,0,1,30,1,900,0,1095,3,1971,3,337,3,320000,30154,1951
Turnhout,2300,apartment,187500,2,100,1,0,1,8,0,0,0,0,2,2005,6,98,3,250000,27404,1875
Amay,4540,house,290000,4,175,1,0,0,0,0,0,0,667,2,1965,3,328,3,200000,27135,1657
Arendonk,2370,apartment,145000,1,58,1,0,1,6,1,100,1,0,2,2013,5,143,5,294500,30737,2500
Wetteren,9230,house,295000,3,151,1,0,0,0,1,408,0,578,3,1968,2,429,1,280000,30041,1953
Woluwe-saint-pierre,1150,apartment,365000,3,110,1,0,1,14,0,0,0,0,2,1965,1,339,3,465000,29516,3318
Waterloo,1410,exceptional-property,1495000,6,458,1,0,1,1,1,1,0,2033,4,2007,5,168,5,475000,31143,3264
Waterloo,1410,exceptional-property,2295000,5,633,1,0,0,0,0,0,1,3503,4,1989,4,198,4,475000,31143,3625
Lokeren,9160,house,299000,3,160,0,0,0,0,0,0,0,708,3,1965,1,578,1,295000,30290,1868
Antwerpen,2000,flat-studio,199000,1,43,1,1,0,0,0,0,0,0,2,1974,4,225,3,260000,25683,4627
Ixelles,1050,penthouse,650000,2,105,1,0,1,13,0,0,0,0,2,2015,4,100,5,350000,23014,6190
Evergem,9940,house,330000,3,170,0,0,0,0,0,0,0,814,4,1969,1,846,1,337500,33011,1941
Ronse,9600,house,380000,3,150,1,0,0,0,1,360,0,604,3,2019,6,67,3,203500,25716,2533
Woluwe-saint-lambert,1200,house,995000,4,221,1,0,1,7,1,45,0,117,2,2023,6,45,5,369000,27210,4502
Sint-pieters-leeuw,1600,house,365000,3,154,1,0,0,0,0,0,0,188,3,1953,3,332,3,325000,29043,2370
Wanze,4520,house,375000,3,184,1,0,1,104,1,1000,0,1193,3,1850,2,424,3,235000,28751,2038
Gent,9000,house,375000,4,150,0,0,1,12,0,0,0,108,2,1930,3,326,2,335000,27,2500
Bekkevoort,3460,villa,585000,5,250,0,0,0,0,0,0,0,1482,4,1984,5,197,3,292500,31160,2340
Gistel,8470,house,350000,3,240,0,0,0,0,1,775,0,1280,4,1971,2,427,1,280000,30301,1458
Lesbonsvillers,6210,duplex,175000,1,75,0,0,0,0,0,0,0,0,3,2010,4,174,3,285000,29626,2333
Brugge,8000,apartment,249000,2,90,1,0,0,0,0,0,0,0,3,1977,5,178,5,310000,29506,2766
Halle,1500,house,399000,2,100,1,0,0,0,0,0,0,135,2,1940,5,122,3,308250,30101,3990
Lanaken,3620,house,609000,3,274,1,0,1,169,1,629,0,1163,3,2017,6,85,5,285000,29187,2222
Flcamalle,4400,house,120000,2,98,1,0,1,16,1,510,0,630,3,1960,0,679,3,190000,26199,1224
Haaltert,9450,house,615000,3,342,1,0,0,0,1,310,0,1088,4,1972,3,376,3,283500,32791,1798
Schilde,2970,house,585000,3,241,1,0,0,0,0,0,0,750,4,1994,4,208,3,500000,33742,2427
Baaigem,9890,house,625000,3,249,0,0,0,0,0,0,0,4205,4,2005,4,209,5,338000,33790,2510
Oostkamp,8020,house,645000,5,280,0,0,0,0,0,0,0,1100,4,1996,4,260,3,361000,32910,2303
Othcae,4340,exceptional-property,769000,4,522,1,0,1,40,1,665,0,1795,4,1993,4,250,5,250000,29354,1473
Sint-pieters-leeuw,1600,villa,420000,2,150,0,0,0,0,0,0,0,521,4,1972,2,431,2,325000,29043,2800
Evergem,9940,house,445000,4,160,0,0,0,0,0,0,0,661,4,1981,4,295,5,337500,33011,2781
Brasschaat,2930,house,649000,4,279,1,0,0,0,1,1000,0,1529,4,1989,4,201,3,385000,31614,2326
Othcae,4340,house,545000,4,187,1,0,1,14,0,0,0,1052,4,2002,5,113,5,250000,29354,2914
Woluwe-saint-lambert,1200,villa,650000,4,231,1,0,1,15,1,340,0,503,4,1960,0,834,1,369000,27210,2813
Sint-katelijne-waver,2860,house,625000,4,303,1,0,1,32,0,0,0,2324,4,1850,3,384,3,375000,31938,2062
Oupeye,4680,house,299000,6,309,1,0,1,26,1,320,0,600,2,1956,3,280,3,220000,26992,967
Gent,9000,apartment,335000,2,97,1,0,0,0,0,0,0,0,2,1965,5,192,3,335000,27,3453
Libin-villance,6890,exceptional-property,449000,5,400,1,0,1,581,1,540,0,1387,4,1830,2,373,5,275000,29036,1122
Uccle,1180,house,1950000,5,450,1,0,1,36,1,210,0,340,2,1932,2,251,5,390000,26467,4333
Denderleeuw,9470,duplex,279000,2,95,1,0,1,7,0,0,0,0,2,2017,6,84,3,271000,30889,2936
Woluwe-saint-pierre,1150,house,995000,5,339,1,0,0,0,0,0,0,430,2,1920,2,220,5,465000,29516,2935
Oostkerke,8340,villa,1195000,4,336,1,0,0,0,0,0,0,924,4,2003,5,175,5,375000,31561,3556
Moorslede,8890,house,645000,5,404,0,0,0,0,0,0,1,1577,3,1976,4,259,5,250000,29887,1596
Moorslede,8890,house,645000,5,404,0,0,0,0,0,0,1,1577,3,1976,4,259,5,250000,29887,1596
Ninove,9400,house,395000,5,223,1,0,1,15,1,75,0,183,2,2013,5,105,3,260000,29589,1771
Jodoigne,1370,villa,400000,5,180,1,0,1,20,0,0,1,666,4,1994,2,359,3,282500,28112,2222
