Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Merchtem,1785,apartment,310000,2,100,0,0,1,15,0,0,0,0,3,2004,5,151,3,330000,32036,3100,26803.13784722222,28758.51106301106,29446.861588481188
Middelkerke,8430,apartment,320000,2,78,1,0,0,0,0,0,0,0,2,2009,3,382,3,200000,27292,4102,26803.13784722222,28758.51106301106,28222.31623931624
Merbes-le-chateau,6567,house,350000,4,223,1,0,1,60,1,860,0,1091,4,2014,5,122,3,236000,26414,1569,29802.14056563951,28758.51106301106,29446.861588481188
Roeselare,8800,apartment,245000,2,86,1,0,1,130,1,20,0,0,3,2011,5,137,5,238106,28720,2848,26803.13784722222,28486.412584912407,29446.861588481188
Temse,9140,house,199000,1,116,1,0,0,0,0,0,0,60,2,1938,3,386,3,260000,30536,1715,29802.14056563951,28758.51106301106,28222.31623931624
Kampenhout,1910,house,325000,4,195,0,0,0,0,0,0,0,1154,4,1991,1,540,3,430000,34557,1666,29802.14056563951,28758.51106301106,29144.322250639387
Lommel,3920,apartment,219000,2,106,0,0,0,0,0,0,0,0,2,2003,5,187,3,285000,30215,2066,26803.13784722222,28758.51106301106,29446.861588481188
Herentals,2200,house,450000,4,191,0,0,0,0,0,0,0,4153,4,1967,1,706,1,274000,29831,2356,29802.14056563951,28927.5390070922,29144.322250639387
Diest,3290,ground-floor,289000,2,89,1,0,0,0,0,0,0,0,3,1991,3,350,3,275000,31304,3247,28347.043859649122,28758.51106301106,28222.31623931624
Oostende,8400,ground-floor,545000,2,100,1,0,1,45,1,55,0,0,3,2009,4,249,5,235000,25991,5450,28347.043859649122,28486.412584912407,29068.10478029937
Gavere,9890,apartment,378650,2,126,1,0,1,11,0,0,0,0,4,2021,6,1,5,338000,33790,3005,26803.13784722222,28486.412584912407,29468.910848549946
Uccle,1180,apartment,310000,2,98,1,0,1,12,0,0,0,0,3,1958,1,279,1,390000,26467,3163,26803.13784722222,28927.5390070922,29144.322250639387
Evere,1140,apartment,275000,2,99,1,0,1,5,0,0,0,0,2,1960,2,218,3,257500,24158,2777,26803.13784722222,28758.51106301106,27576.145009416196
Rijkevorsel,2310,house,665000,4,180,1,0,0,0,0,0,0,467,3,1993,5,158,5,350000,30083,3694,29802.14056563951,28486.412584912407,29446.861588481188
Ixelles,1050,exceptional-property,1500000,4,337,0,0,0,0,1,209,0,291,2,1959,1,299,2,350000,23014,4451,29278.095238095237,28791.728096676736,29144.322250639387
Londerzeel,1840,house,399000,4,287,1,0,0,0,0,0,0,361,3,1918,3,310,2,369000,32899,1390,29802.14056563951,28791.728096676736,28222.31623931624
Watermael-boitsfort,1170,ground-floor,1550000,3,260,1,0,0,0,0,0,0,0,3,1999,3,209,5,429500,26474,5961,28347.043859649122,28486.412584912407,28222.31623931624
Saint-nicolas,4420,house,180000,3,105,1,0,1,2,1,120,0,230,3,1925,0,528,3,170000,24020,1714,29802.14056563951,28758.51106301106,25195.411320754716
Hemiksem,2620,house,275000,3,134,0,0,0,0,0,0,0,360,3,1925,2,476,3,265000,32465,2052,29802.14056563951,28758.51106301106,27576.145009416196
Egem,8740,house,277000,4,159,0,0,0,0,0,0,0,224,4,2024,6,35,3,309000,30145,1742,29802.14056563951,28758.51106301106,29468.910848549946
Schoten,2900,house,349000,3,167,1,0,1,20,1,190,0,270,2,1954,4,250,3,330550,31175,2089,29802.14056563951,28758.51106301106,29068.10478029937
