Locality,Zip Code,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Median Price per Commune,Median Revenue per Commune,Price/m2,Subtype of Property Score,State of the Building Score,PEB Score
Tongeren,3700,house,498000,3,206,0,0,0,0,0,0,0,3580,4,2014,6,94,5,223000,28396,2417,29802.14056563951,28486.412584912407,29468.910848549946
Anderlecht,1070,apartment,300000,2,70,1,0,1,6,0,0,0,0,2,2022,6,45,5,220000,21336,4285,26803.13784722222,28486.412584912407,29468.910848549946
Awans-othee,4340,house,429000,2,203,0,0,1,23,1,900,0,1100,4,1977,3,328,3,250000,29354,2113,29802.14056563951,28758.51106301106,28222.31623931624
Ninove,9400,house,499000,3,290,1,0,1,25,1,450,0,1365,4,1935,4,297,5,260000,29589,1720,29802.14056563951,28486.412584912407,29068.10478029937
Montegncae,4420,house,159000,3,126,1,0,1,30,1,185,0,275,3,1930,3,298,1,170000,24020,1261,29802.14056563951,28927.5390070922,28222.31623931624
Gent,9000,house,249000,3,127,1,0,1,2,0,0,0,157,2,1992,1,904,1,335000,27801,1960,29802.14056563951,28927.5390070922,29144.322250639387
Huy,4500,villa,550000,5,295,1,0,1,50,1,1000,0,1369,4,1957,4,255,4,196000,24184,1864,30737.61626429479,28224.02819956616,29068.10478029937
Woluwe-saint-lambert,1200,apartment,435000,2,93,1,1,1,16,0,0,0,0,2,2016,5,58,5,369000,27210,4677,26803.13784722222,28486.412584912407,29446.861588481188
Lochristi,9080,house,375000,5,220,1,0,0,0,1,200,0,309,2,1983,1,829,2,404000,33119,1704,29802.14056563951,28791.728096676736,29144.322250639387
Vilvoorde-koningslo,1800,apartment,260000,2,78,0,0,1,2,0,0,0,0,3,1970,4,285,3,300000,29017,3333,26803.13784722222,28758.51106301106,29068.10478029937
Leglise,6860,house,199000,4,251,0,0,0,0,0,0,0,528,3,1850,3,339,1,210050,32700,792,29802.14056563951,28927.5390070922,28222.31623931624
Wasmes,7340,house,80000,2,100,0,0,0,0,0,0,0,292,2,1945,0,739,1,119000,22526,800,29802.14056563951,28927.5390070922,25195.411320754716
Lubbeek,3210,villa,689000,3,272,1,0,1,25,0,0,0,1710,4,1973,4,297,3,390000,36800,2533,30737.61626429479,28758.51106301106,29068.10478029937
Dessel,2480,house,279000,3,134,0,0,0,0,0,0,0,683,4,1962,1,858,1,291750,31168,2082,29802.14056563951,28927.5390070922,29144.322250639387
Merchtem,1785,flat-studio,145000,1,40,1,0,0,0,0,0,0,0,2,1993,5,137,3,330000,32036,3625,25140.745098039217,28758.51106301106,29446.861588481188
Gooik,1755,house,489000,5,220,1,0,1,32,1,450,0,962,4,1995,4,299,3,415000,33404,2222,29802.14056563951,28758.51106301106,29068.10478029937
Kapellen,2950,house,389000,5,183,0,0,1,20,0,0,0,219,2,1986,5,162,3,365250,33995,2125,29802.14056563951,28758.51106301106,29446.861588481188
Ixelles,1050,penthouse,1350000,5,395,1,0,1,100,0,0,0,0,4,1992,4,140,5,350000,23014,3417,25996.018604651163,28486.412584912407,29068.10478029937
Borgloon,3840,apartment,325000,2,106,0,0,1,13,0,0,0,0,3,2020,6,79,5,260000,29600,3066,26803.13784722222,28486.412584912407,29468.910848549946
Brasschaat,2930,villa,970000,7,409,0,0,0,0,0,0,0,1286,4,1954,1,923,1,385000,31614,2371,30737.61626429479,28927.5390070922,29144.322250639387
Ganshoren,1083,apartment,265000,2,79,0,0,1,3,0,0,0,0,2,1980,2,252,3,220000,23789,3354,26803.13784722222,28758.51106301106,27576.145009416196
Woluwe-saint-pierre,1150,house,1195000,4,285,1,0,1,20,1,200,0,418,3,1995,2,226,5,465000,29516,4192,29802.14056563951,28486.412584912407,27576.145009416196
Malle,2390,house,548000,4,242,1,0,0,0,0,0,0,1508,4,1979,5,150,3,353800,30447,2264,29802.14056563951,28758.51106301106,29446.861588481188
Anderlecht,1070,flat-studio,129000,1,40,0,0,1,7,0,0,0,0,4,1978,3,204,5,220000,21336,3225,25140.745098039217,28486.412584912407,28222.31623931624
Grez-doiceau,1390,villa,895000,3,210,1,0,1,60,1,750,1,1152,4,2000,3,274,3,382500,31018,4261,30737.61626429479,28758.51106301106,28222.31623931624
Tubize,1480,duplex,213000,3,110,1,0,0,0,0,0,0,0,2,2004,4,180,3,252250,27224,1936,27281.282442748092,28758.51106301106,29068.10478029937
Woluwe-saint-pierre,1150,apartment,330000,1,60,1,0,1,13,0,0,0,0,2,1991,2,243,5,465000,29516,5500,26803.13784722222,28486.412584912407,27576.145009416196
Sint-gillis-waas,9170,house,599000,3,160,0,0,1,23,0,0,0,525,4,2024,6,11,5,330000,31678,3743,29802.14056563951,28486.412584912407,29468.910848549946
Brussel,1000,apartment,840000,3,160,1,0,1,10,0,0,0,0,2,1970,4,112,5,275000,21541,5250,26803.13784722222,28486.412584912407,29068.10478029937
Lokeren,9160,house,288000,3,195,0,0,0,0,0,0,0,202,2,1959,3,360,2,295000,30290,1476,29802.14056563951,28791.728096676736,28222.31623931624
Mons,7000,apartment,225000,2,65,1,0,1,45,0,0,0,0,3,1980,5,115,4,170000,24834,3461,26803.13784722222,28224.02819956616,29446.861588481188
Asse,1730,house,175000,2,64,1,0,1,15,0,0,0,65,2,1899,2,474,5,288000,29699,2734,29802.14056563951,28486.412584912407,27576.145009416196
Rhode-saint-genese,1640,villa,895000,5,316,1,0,0,0,0,0,1,600,4,1957,4,265,3,530000,32847,2832,30737.61626429479,28758.51106301106,29068.10478029937
Ingelmunster,8770,house,299500,3,150,1,0,0,0,0,0,0,125,2,2023,6,45,3,252500,30218,1996,29802.14056563951,28758.51106301106,29468.910848549946
Opwijk,1745,villa,435000,4,256,1,0,0,0,0,0,0,1515,4,1980,1,662,5,315000,33533,1699,30737.61626429479,28486.412584912407,29144.322250639387
Schaerbeek,1030,apartment,630000,3,252,1,0,0,0,0,0,0,0,2,1935,0,360,1,275000,21912,2500,26803.13784722222,28927.5390070922,25195.411320754716
Oud-turnhout,2360,duplex,275000,2,102,1,0,1,8,0,0,0,0,2,1954,5,117,4,330000,32681,2696,27281.282442748092,28224.02819956616,29446.861588481188
Anderlecht,1070,apartment,245000,3,95,0,0,1,12,0,0,0,0,3,1973,3,187,4,220000,21336,2578,26803.13784722222,28224.02819956616,28222.31623931624
Anderlecht,1070,apartment,235000,2,85,0,0,1,3,0,0,0,0,2,1959,0,613,5,220000,21336,2764,26803.13784722222,28486.412584912407,25195.411320754716
Brasschaat,2930,villa,1780000,7,530,1,0,0,0,0,0,0,4309,4,1924,3,350,3,385000,31614,3358,30737.61626429479,28758.51106301106,28222.31623931624
Herve,4650,house,379000,5,338,1,0,0,0,1,440,0,440,2,1921,3,261,3,233500,29271,1121,29802.14056563951,28758.51106301106,28222.31623931624
Brakel,9660,house,312000,3,153,1,0,0,0,1,250,0,491,3,1993,5,175,3,250000,31853,2039,29802.14056563951,28758.51106301106,29446.861588481188
Oud-turnhout,2360,house,425000,3,219,1,0,1,32,1,767,0,1374,4,1975,3,340,2,330000,32681,1940,29802.14056563951,28791.728096676736,28222.31623931624
Jurbise,7050,apartment,170000,1,70,1,0,1,40,1,40,0,0,4,2012,3,332,5,280000,34569,2428,26803.13784722222,28486.412584912407,28222.31623931624
Liege,4000,house,275000,4,207,1,0,1,5,1,100,0,192,2,1934,4,254,1,170000,22738,1328,29802.14056563951,28927.5390070922,29068.10478029937
Dendermonde,9200,house,249000,3,203,0,0,0,0,1,58,0,102,2,1963,4,223,2,265000,30172,1226,29802.14056563951,28791.728096676736,29068.10478029937
Waterloo,1410,house,555000,3,132,1,0,1,12,1,66,1,2285,2,2015,5,89,5,475000,31143,4204,29802.14056563951,28486.412584912407,29446.861588481188
Forest,1190,apartment,445000,3,143,1,0,0,0,0,0,0,0,2,1962,0,947,3,280000,22908,3111,26803.13784722222,28758.51106301106,25195.411320754716
Gavere,9890,house,365000,3,171,1,0,1,9,1,15,0,195,2,2021,6,1,5,338000,33790,2134,29802.14056563951,28486.412584912407,29468.910848549946
Woluwe-saint-pierre,1150,villa,795000,4,205,1,0,1,20,1,150,0,333,4,1960,0,411,3,465000,29516,3878,30737.61626429479,28758.51106301106,25195.411320754716
Geel,2440,house,649000,4,360,1,0,1,15,0,0,1,747,4,1994,5,197,3,270000,30648,1802,29802.14056563951,28758.51106301106,29446.861588481188
Holsbeek,3220,apartment,330000,2,120,0,0,1,12,0,0,0,0,3,2009,5,167,5,353000,35269,2750,26803.13784722222,28486.412584912407,29446.861588481188
Zoersel,2980,villa,655000,4,217,0,0,0,0,0,0,0,2169,4,1977,3,327,2,425000,33080,3018,30737.61626429479,28791.728096676736,28222.31623931624
Overijse,3090,villa,945000,3,244,1,0,1,16,1,400,0,860,4,1997,5,133,5,517500,33781,3872,30737.61626429479,28486.412584912407,29446.861588481188
Kraainem,1950,house,515000,4,140,0,0,1,10,1,50,0,100,2,1949,4,299,3,530000,32881,3678,29802.14056563951,28758.51106301106,29068.10478029937
Brasschaat,2930,house,499000,4,984,0,0,0,0,1,784,0,984,3,1960,2,446,3,385000,31614,507,29802.14056563951,28758.51106301106,27576.145009416196
Gavere,9890,house,550000,3,249,0,0,0,0,0,0,0,1335,4,2005,4,209,5,338000,33790,2208,29802.14056563951,28486.412584912407,29068.10478029937
Turnhout,2300,apartment,265000,1,108,0,0,1,17,0,0,0,0,3,2003,5,148,3,250000,27404,2453,26803.13784722222,28758.51106301106,29446.861588481188
Anderlecht,1070,apartment,265000,2,71,0,0,1,6,0,0,0,0,3,2018,5,83,3,220000,21336,3732,26803.13784722222,28758.51106301106,29446.861588481188
Mol,2400,house,325000,4,535,1,0,0,0,0,0,0,620,3,1962,1,502,3,268000,30380,607,29802.14056563951,28758.51106301106,29144.322250639387
Ichtegem,8480,house,495000,5,264,0,0,0,0,0,0,0,684,4,1906,5,200,3,295000,30261,1875,29802.14056563951,28758.51106301106,29446.861588481188
Gent,9000,apartment,395000,2,92,1,0,1,12,0,0,0,0,4,1850,5,115,5,335000,27801,4293,26803.13784722222,28486.412584912407,29446.861588481188
Woluwe-saint-pierre,1150,apartment,335000,2,95,0,0,1,5,0,0,0,0,2,1970,3,187,2,465000,29516,3526,26803.13784722222,28791.728096676736,28222.31623931624
Waremme,4300,apartment,150000,2,75,1,0,0,0,1,100,0,0,4,1969,0,577,3,210000,27485,2000,26803.13784722222,28758.51106301106,25195.411320754716
Beveren,9120,house,549000,4,264,1,0,1,55,0,0,0,702,4,1983,3,342,3,296500,32302,2079,29802.14056563951,28758.51106301106,28222.31623931624
Ans,4430,house,224000,3,126,1,0,1,7,1,62,0,130,2,1950,3,306,3,200500,26138,1777,29802.14056563951,28758.51106301106,28222.31623931624
Londerzeel,1840,house,385000,3,227,1,0,0,0,0,0,0,532,3,1930,3,322,5,369000,32899,1696,29802.14056563951,28486.412584912407,28222.31623931624
Boom,2850,house,330000,2,228,0,0,0,0,1,230,0,363,2,1970,4,254,2,258000,27780,1447,29802.14056563951,28791.728096676736,29068.10478029937
Berchem-sainte-agathe,1082,apartment,239000,2,88,1,0,1,8,0,0,0,0,3,1978,3,177,5,267500,24327,2715,26803.13784722222,28486.412584912407,28222.31623931624
Liege-glain,4000,house,359000,3,145,0,0,1,23,1,150,0,270,2,2022,5,98,5,170000,22738,2475,29802.14056563951,28486.412584912407,29446.861588481188
Blaasveld,2830,house,399000,3,163,0,0,0,0,1,590,0,870,3,1939,2,480,1,286750,29939,2447,29802.14056563951,28927.5390070922,27576.145009416196
Hamont-achel,3930,house,389500,4,267,0,0,0,0,0,0,0,940,4,1981,4,232,2,310000,29119,1458,29802.14056563951,28791.728096676736,29068.10478029937
Buggenhout,9255,house,199000,2,159,0,0,0,0,0,0,0,143,2,1958,1,524,1,327500,33340,1251,29802.14056563951,28927.5390070922,29144.322250639387
Oudenaarde,9700,house,435000,3,162,0,0,1,7,0,0,0,725,3,2012,5,136,3,275000,30647,2685,29802.14056563951,28758.51106301106,29446.861588481188
Hannuttrogncae,4280,house,199000,3,184,0,0,1,97,1,444,0,576,3,1875,2,399,3,249000,29642,1081,29802.14056563951,28758.51106301106,27576.145009416196
Waterloo,1410,villa,687500,5,228,1,0,1,28,0,0,0,652,4,1973,3,309,2,475000,31143,3015,30737.61626429479,28791.728096676736,28222.31623931624
Liege,4000,house,169000,2,98,0,0,1,20,1,97,0,172,2,1918,2,344,3,170000,22738,1724,29802.14056563951,28758.51106301106,27576.145009416196
Eeklo,9900,apartment,175000,2,97,1,0,0,0,0,0,0,0,3,1989,4,294,2,250000,27380,1804,26803.13784722222,28791.728096676736,29068.10478029937
Charleroi,6000,house,289000,3,165,1,0,0,0,1,494,0,899,3,1890,2,411,3,132000,22526,1751,29802.14056563951,28758.51106301106,27576.145009416196
Edegem,2650,apartment,279000,3,90,1,0,1,3,0,0,0,0,3,1974,5,188,4,339900,34133,3100,26803.13784722222,28224.02819956616,29446.861588481188
Duinbergen,8301,apartment,585000,3,96,0,0,0,0,0,0,0,0,3,1967,4,284,2,592500,28601,6093,26803.13784722222,28791.728096676736,29068.10478029937
Huy,4500,house,199000,4,209,0,0,0,0,1,96,0,233,2,1935,0,530,1,196000,24184,952,29802.14056563951,28927.5390070922,25195.411320754716
Saint-gilles,1060,apartment,587000,2,118,1,0,0,0,0,0,0,0,3,1930,2,223,5,291000,20648,4974,26803.13784722222,28486.412584912407,27576.145009416196
Hoevenen,2940,apartment,365000,2,115,1,0,1,46,0,0,0,0,3,2003,5,156,3,305000,33477,3173,26803.13784722222,28758.51106301106,29446.861588481188
Charleroi,6000,apartment,149000,2,79,1,0,1,4,0,0,0,0,2,1960,4,201,4,132000,22526,1886,26803.13784722222,28224.02819956616,29068.10478029937
Affligem,1790,house,369000,3,190,0,0,0,0,0,0,0,570,4,1939,4,267,3,330000,34876,1942,29802.14056563951,28758.51106301106,29068.10478029937
Etterbeek,1040,apartment,280000,2,85,0,0,1,2,0,0,0,0,2,1958,1,303,3,323500,23665,3294,26803.13784722222,28758.51106301106,29144.322250639387
Sint-jans-molenbeek,1080,apartment,378000,2,101,1,0,0,0,0,0,0,0,2,1999,3,201,5,215000,21062,3742,26803.13784722222,28486.412584912407,28222.31623931624
Schoten,2900,house,499000,3,159,0,0,0,0,0,0,0,141,2,2001,5,163,5,330550,31175,3138,29802.14056563951,28486.412584912407,29446.861588481188
Sint-niklaas,9100,house,415000,2,222,0,0,0,0,0,0,0,731,4,1954,3,324,5,265000,28267,1869,29802.14056563951,28486.412584912407,28222.31623931624
Molenbeek-saint-jean,1080,apartment,170000,1,70,1,0,1,5,0,0,0,0,2,1976,3,190,3,215000,21062,2428,26803.13784722222,28758.51106301106,28222.31623931624
Liege,4000,apartment,129000,1,81,0,0,0,0,0,0,0,0,2,1968,5,146,2,170000,22738,1592,26803.13784722222,28791.728096676736,29446.861588481188
Rhode-saint-genese,1640,house,975000,7,465,1,0,0,0,1,477,0,1960,4,1975,4,214,3,530000,32847,2096,29802.14056563951,28758.51106301106,29068.10478029937
Kortrijk,8500,apartment,425000,2,129,1,0,1,36,0,0,0,0,2,2019,6,77,5,265000,28248,3294,26803.13784722222,28486.412584912407,29468.910848549946
Woluwe-saint-pierre,1150,apartment,295000,2,81,1,0,1,6,0,0,0,0,2,1964,1,283,1,465000,29516,3641,26803.13784722222,28927.5390070922,29144.322250639387
Braine-lalleud,1420,villa,595000,4,230,1,0,1,20,0,0,0,969,4,1988,4,225,2,360000,30512,2586,30737.61626429479,28791.728096676736,29068.10478029937
Laakdal,2430,service-flat,150000,1,52,1,0,0,0,0,0,0,0,3,2012,5,144,3,283750,31971,2884,31110.305555555555,28758.51106301106,29446.861588481188
Uccle,1180,house,950000,6,294,1,0,1,120,1,240,0,661,3,1933,0,500,3,390000,26467,3231,29802.14056563951,28758.51106301106,25195.411320754716
Pont-a-celles,6230,house,250000,3,110,1,0,1,21,1,434,0,492,3,1980,2,354,2,231500,29956,2272,29802.14056563951,28791.728096676736,27576.145009416196
Stabroek,2940,villa,795000,4,276,1,0,0,0,0,0,0,592,4,2004,5,111,5,305000,33477,2880,30737.61626429479,28486.412584912407,29446.861588481188
Bruxelles,1040,apartment,795000,3,188,1,0,1,16,0,0,0,0,2,1990,4,117,3,323500,23665,4228,26803.13784722222,28758.51106301106,29068.10478029937
Bruxelles,1000,apartment,450000,2,109,1,0,1,6,0,0,0,0,2,1890,3,179,5,275000,21541,4128,26803.13784722222,28486.412584912407,28222.31623931624
Evere,1140,penthouse,385000,2,95,1,0,1,10,0,0,0,0,2,2023,5,51,5,257500,24158,4052,25996.018604651163,28486.412584912407,29446.861588481188
Thuin,6530,house,189000,4,242,1,0,0,0,0,0,0,611,2,1899,4,236,3,230000,28623,780,29802.14056563951,28758.51106301106,29068.10478029937
Anderlecht,1070,house,399000,6,188,1,0,0,0,0,0,0,225,2,1899,0,429,3,220000,21336,2122,29802.14056563951,28758.51106301106,25195.411320754716
Westerlo,2260,house,179000,4,210,0,0,0,0,0,0,0,493,3,1930,1,866,1,290000,31616,852,29802.14056563951,28927.5390070922,29144.322250639387
Etalle,6740,house,440000,5,209,0,0,0,0,0,0,0,1435,4,1998,4,244,3,266500,34230,2105,29802.14056563951,28758.51106301106,29068.10478029937
Bruxelles,1000,house,1290000,5,449,1,0,0,0,1,140,0,395,2,1895,1,301,3,275000,21541,2873,29802.14056563951,28758.51106301106,29144.322250639387
Hemiksem,2620,house,179000,3,128,0,0,0,0,1,154,0,203,2,1944,1,624,2,265000,32465,1398,29802.14056563951,28791.728096676736,29144.322250639387
Vorselaar,2290,house,222000,2,109,0,0,0,0,0,0,0,190,3,1933,2,473,2,320000,31566,2036,29802.14056563951,28791.728096676736,27576.145009416196
Brussel,1000,penthouse,499000,2,130,1,0,1,40,0,0,0,0,4,2015,4,99,3,275000,21541,3838,25996.018604651163,28758.51106301106,29068.10478029937
Sint-pieters-leeuw,1600,house,365000,3,144,1,0,0,0,0,0,0,200,3,1963,3,339,2,325000,29043,2534,29802.14056563951,28791.728096676736,28222.31623931624
Oostkamp,8020,ground-floor,345000,2,110,0,0,0,0,0,0,0,0,3,1995,4,252,5,361000,32910,3136,28347.043859649122,28486.412584912407,29068.10478029937
Ganshoren,1083,apartment,325000,2,93,1,0,1,8,0,0,0,0,2,2004,4,117,5,220000,23789,3494,26803.13784722222,28486.412584912407,29068.10478029937
Nieuwpoort,8620,apartment,235000,3,75,0,1,0,0,0,0,0,0,4,1984,1,657,2,260000,27342,3133,26803.13784722222,28791.728096676736,29144.322250639387
Bruxelles,1000,house,1595000,6,370,1,0,1,11,1,80,0,190,2,1870,1,299,3,275000,21541,4310,29802.14056563951,28758.51106301106,29144.322250639387
Anderlecht,1070,triplex,299000,3,110,0,0,0,0,0,0,0,0,2,1930,2,239,5,220000,21336,2718,27681.928571428572,28486.412584912407,27576.145009416196
Gullegem,8560,house,220000,3,180,0,0,0,0,0,0,0,240,4,1964,2,409,5,245000,31432,1222,29802.14056563951,28486.412584912407,27576.145009416196
Turnhout,2300,penthouse,425000,2,180,1,0,1,200,1,1000,1,0,4,2000,4,218,5,250000,27404,2361,25996.018604651163,28486.412584912407,29068.10478029937
Bruxelles,1000,apartment,270000,2,80,0,0,0,0,0,0,0,0,2,1899,3,185,4,275000,21541,3375,26803.13784722222,28224.02819956616,28222.31623931624
Braine-lalleud,1420,villa,2495000,6,700,1,0,1,60,0,0,0,5000,4,2001,3,335,5,360000,30512,3564,30737.61626429479,28486.412584912407,28222.31623931624
Ixelles,1050,house,1050000,6,327,1,0,0,0,0,0,0,125,2,1918,1,327,2,350000,23014,3211,29802.14056563951,28791.728096676736,29144.322250639387
Middelkerke,8430,apartment,235000,1,61,0,1,0,0,0,0,0,0,2,1978,4,286,3,200000,27292,3852,26803.13784722222,28758.51106301106,29068.10478029937
Uccle,1180,house,1390000,5,413,0,0,1,30,0,0,1,822,4,1982,1,287,1,390000,26467,3365,29802.14056563951,28927.5390070922,29144.322250639387
Pittem,8740,house,360000,3,215,0,0,0,0,0,0,0,518,4,1973,3,378,5,309000,30145,1674,29802.14056563951,28486.412584912407,28222.31623931624
Beersel,1650,house,369000,6,230,1,0,0,0,0,0,0,1660,3,1930,1,561,2,396000,32780,1604,29802.14056563951,28791.728096676736,29144.322250639387
Schaerbeek,1030,apartment,295000,2,97,1,0,1,5,0,0,0,0,2,2012,4,116,5,275000,21912,3041,26803.13784722222,28486.412584912407,29068.10478029937
Schilde,2970,villa,1070000,4,384,1,0,0,0,0,0,0,2551,4,2009,6,81,3,500000,33742,2786,30737.61626429479,28758.51106301106,29468.910848549946
Kraainem,1950,ground-floor,330000,2,88,1,0,1,35,0,0,0,0,2,1970,4,206,3,530000,32881,3750,28347.043859649122,28758.51106301106,29068.10478029937
Saint-gilles,1060,duplex,430000,2,164,1,0,0,0,0,0,0,0,2,1930,0,914,3,291000,20648,2621,27281.282442748092,28758.51106301106,25195.411320754716
Duffel,2570,house,449000,4,222,1,0,0,0,1,283,0,371,2,2001,5,158,3,295000,30866,2022,29802.14056563951,28758.51106301106,29446.861588481188
Aalst,9300,house,235000,3,144,1,0,0,0,0,0,0,145,2,1935,3,383,3,265000,29669,1631,29802.14056563951,28758.51106301106,28222.31623931624
Gierle,2275,house,399500,4,258,1,0,1,50,1,220,0,794,4,1978,5,177,3,320000,31754,1548,29802.14056563951,28758.51106301106,29446.861588481188
Dendermonde,9200,house,265000,4,240,1,0,0,0,0,0,0,80,2,1930,2,437,1,265000,30172,1104,29802.14056563951,28927.5390070922,27576.145009416196
Ganshoren,1083,apartment,225000,2,75,1,0,1,3,0,0,0,0,3,1960,1,294,5,220000,23789,3000,26803.13784722222,28486.412584912407,29144.322250639387
Halle,1500,apartment,359000,2,95,1,0,0,0,0,0,0,0,2,2020,6,47,3,308250,30101,3778,26803.13784722222,28758.51106301106,29468.910848549946
Maasmechelen,3630,house,218000,4,143,0,0,0,0,0,0,0,734,3,1948,1,562,1,240000,26878,1524,29802.14056563951,28927.5390070922,29144.322250639387
Bruxelles,1000,duplex,460000,3,146,1,0,1,52,0,0,0,0,2,2020,4,103,5,275000,21541,3150,27281.282442748092,28486.412584912407,29068.10478029937
Oostende,8400,house,239000,3,143,0,0,0,0,0,0,0,140,4,1963,4,281,3,235000,25991,1671,29802.14056563951,28758.51106301106,29068.10478029937
Herentals,2200,house,375000,4,249,0,0,0,0,1,600,0,958,3,1970,4,281,3,274000,29831,1506,29802.14056563951,28758.51106301106,29068.10478029937
Dendermonde,9200,apartment,245000,2,90,1,0,1,13,0,0,0,0,2,2003,5,116,5,265000,30172,2722,26803.13784722222,28486.412584912407,29446.861588481188
Diest,3290,apartment,295000,2,108,0,0,0,0,0,0,0,0,2,1999,5,179,3,275000,31304,2731,26803.13784722222,28758.51106301106,29446.861588481188
Woluwe-saint-pierre,1150,apartment,655000,3,170,1,0,1,22,0,0,0,0,2,1965,4,132,3,465000,29516,3852,26803.13784722222,28758.51106301106,29068.10478029937
Brasschaat,2930,ground-floor,309000,2,90,0,0,0,0,0,0,0,0,3,1989,5,157,3,385000,31614,3433,28347.043859649122,28758.51106301106,29446.861588481188
Woluwe-saint-pierre,1150,duplex,400000,3,100,1,0,1,5,0,0,0,0,2,1975,1,325,3,465000,29516,4000,27281.282442748092,28758.51106301106,29144.322250639387
Kapellen,2950,house,299900,2,110,1,0,0,0,0,0,0,128,3,1939,3,324,3,365250,33995,2726,29802.14056563951,28758.51106301106,28222.31623931624
Mechelen,2800,house,389000,3,165,1,0,0,0,1,25,0,75,2,1918,3,358,3,312500,29870,2357,29802.14056563951,28758.51106301106,28222.31623931624
Temse,9140,house,339000,3,260,1,0,0,0,0,0,0,199,2,1930,6,95,3,260000,30536,1303,29802.14056563951,28758.51106301106,29468.910848549946
Herzele,9550,house,240000,3,188,1,0,1,18,1,110,0,300,2,1918,4,283,1,300044,32877,1276,29802.14056563951,28927.5390070922,29068.10478029937
Mol,2400,villa,595000,4,237,1,0,0,0,0,0,0,1508,4,1975,1,558,5,268000,30380,2510,30737.61626429479,28486.412584912407,29144.322250639387
Gistel,8470,house,169000,4,124,0,0,0,0,0,0,0,182,2,1934,4,282,5,280000,30301,1362,29802.14056563951,28486.412584912407,29068.10478029937
Sint-niklaas,9100,apartment,239000,3,107,0,0,1,4,0,0,0,0,2,1978,5,194,3,265000,28267,2233,26803.13784722222,28758.51106301106,29446.861588481188
Gent,9000,apartment,415000,3,125,1,0,0,0,0,0,0,0,3,2005,5,113,3,335000,27801,3320,26803.13784722222,28758.51106301106,29446.861588481188
Kortrijk,8500,house,164500,3,120,1,0,1,20,1,40,0,94,2,1945,4,224,3,265000,28248,1370,29802.14056563951,28758.51106301106,29068.10478029937
Thon,5300,house,240000,2,163,0,0,1,70,0,0,0,1550,4,1875,1,463,2,200000,26492,1472,29802.14056563951,28791.728096676736,29144.322250639387
Herzele,9550,house,299000,3,165,1,0,0,0,0,0,0,1725,4,1969,1,712,2,300044,32877,1812,29802.14056563951,28791.728096676736,29144.322250639387
Liege,4000,apartment,220000,2,78,0,0,1,17,0,0,0,0,2,1968,2,405,3,170000,22738,2820,26803.13784722222,28758.51106301106,27576.145009416196
Kortrijk,8500,apartment,275000,2,103,0,0,0,0,0,0,0,0,2,1980,5,108,3,265000,28248,2669,26803.13784722222,28758.51106301106,29446.861588481188
Dessel,2480,house,249000,5,210,1,0,0,0,0,0,0,320,3,1951,1,577,1,291750,31168,1185,29802.14056563951,28927.5390070922,29144.322250639387
Waregem,8790,duplex,225000,2,95,1,0,0,0,0,0,0,0,2,2009,5,104,3,292000,30342,2368,27281.282442748092,28758.51106301106,29446.861588481188
Ixelles,1050,penthouse,338000,2,76,1,0,1,11,0,0,0,0,2,1965,3,154,3,350000,23014,4447,25996.018604651163,28758.51106301106,28222.31623931624
Tongeren,3700,house,314000,2,176,1,0,1,16,0,0,0,120,2,2008,6,91,5,223000,28396,1784,29802.14056563951,28486.412584912407,29468.910848549946
Edegem,2650,apartment,229000,2,87,0,0,0,0,0,0,0,0,2,1974,5,125,2,339900,34133,2632,26803.13784722222,28791.728096676736,29446.861588481188
Arlon,6700,apartment,285000,1,91,1,0,1,6,0,0,0,0,2,1945,3,262,5,286500,34008,3131,26803.13784722222,28486.412584912407,28222.31623931624
Kalmthout,2920,house,925000,4,263,1,0,0,0,0,0,0,2003,4,1993,2,480,5,400000,33167,3517,29802.14056563951,28486.412584912407,27576.145009416196
Petegem-aan-de-leie,9800,house,229000,2,103,1,0,0,0,0,0,0,270,2,1930,4,259,3,320500,31900,2223,29802.14056563951,28758.51106301106,29068.10478029937
Heist-op-den-berg,2220,apartment,265000,2,101,0,0,0,0,0,0,0,0,2,1999,4,226,3,325000,30714,2623,26803.13784722222,28758.51106301106,29068.10478029937
Licge,4000,apartment,210000,3,109,0,0,0,0,0,0,0,0,2,1965,5,160,2,170000,22738,1926,26803.13784722222,28791.728096676736,29446.861588481188
Bruxelles,1000,ground-floor,680000,3,208,1,0,1,40,1,650,0,0,3,1952,0,412,1,275000,21541,3269,28347.043859649122,28927.5390070922,25195.411320754716
Brussel,1000,apartment,320000,3,124,1,0,0,0,0,0,0,0,2,2007,3,175,3,275000,21541,2580,26803.13784722222,28758.51106301106,28222.31623931624
Braine-lalleud,1420,villa,545000,3,250,1,0,1,30,0,0,1,1768,4,1966,3,328,5,360000,30512,2180,30737.61626429479,28486.412584912407,28222.31623931624
Wommelgem,2160,villa,849000,3,260,0,0,0,0,0,0,0,893,4,1990,4,211,3,362000,31223,3265,30737.61626429479,28758.51106301106,29068.10478029937
